nom,tipus,cat,elem
Animist,Elite,Avatar,DB
Bladedancer,Elite,Avatar,DB
Corruptor,Elite,Avatar,DB
Duplicator,Unique,Avatar,DB
Harbinger,Exceptional,Avatar,DB
Imposter,Unique,Avatar,DB
Interrogator,Elite,Avatar,DB
Ironclad,Elite,Avatar,DB
Magician,Unique,Avatar,DB
Necromancer,Exceptional,Avatar,DB
Persecutor,Exceptional,Avatar,DB
Realm-Eater,Unique,Avatar,DB
Savior,Exceptional,Avatar,DB
Accursed Desert,Ordinary,Site,Fire
Accursed Tower,Ordinary,Site,Air
Algae Bloom,Ordinary,Site,Water
Autumn Bloom,Ordinary,Site,Earth
Blessed Village,Ordinary,Site,Earth
Blessed Well,Ordinary,Site,Water
Croaking Swamp,Ordinary,Site,Water
Den of Evil,Ordinary,Site,Air
Desert Bloom,Ordinary,Site,Fire
Hillside Chapel,Ordinary,Site,Earth
Leadworks,Ordinary,Site,Fire
Open Grave,Ordinary,Site,Earth
Open Mausoleum,Ordinary,Site,Air
Silent Hills,Ordinary,Site,Earth
Spore Spouts,Ordinary,Site,Air
Stinging Kelp,Ordinary,Site,Water
Troubled Town,Ordinary,Site,DB
Twilight Bloom,Ordinary,Site,Air
Vast Desert,Ordinary,Site,Fire
Active Volcano,Exceptional,Site,Fire
Consecrated Ground,Exceptional,Site,Earth
Dark Alley,Exceptional,Site,Air
Deep Sea,Exceptional,Site,Water
Desecrated Ground,Exceptional,Site,Air
Fertile Earth,Exceptional,Site,Earth
Fields of Phyxis,Exceptional,Site,Air
Forlorn Keep,Exceptional,Site,Earth
Forsaken Crypt,Exceptional,Site,Air
Ghost Town,Exceptional,Site,DB
Haystack,Exceptional,Site,Earth
Molten Maar,Exceptional,Site,Fire
Mountain Peaks,Exceptional,Site,Air
Mudslide,Exceptional,Site,Water
Peculiar Port,Exceptional,Site,Water
River of Blood,Exceptional,Site,Fire
Road to Perdition,Exceptional,Site,Fire
Shallow Grave,Exceptional,Site,Earth
The Base of Babel,Exceptional,Site,Earth
Thin Ice,Exceptional,Site,Water
Boulevard of Bones,Elite,Site,Earth
Bureau of Occult Control,Elite,Site,DB
Dread Thicket,Elite,Site,Air
Elder Ruins,Elite,Site,Water
Ersatz Platz,Elite,Site,DB
Forgotten Tomb,Elite,Site,Earth
Heirloom Lost,Elite,Site,DB
Infusion Factory,Elite,Site,DB
Mismanaged Mortuary,Elite,Site,DB
No Man's Land,Elite,Site,Earth
Pilgrim's Shrine,Elite,Site,Earth
Plague Pits,Elite,Site,Fire
River Rapids,Elite,Site,Water
Shrike Orchard,Elite,Site,Air
Sinister Pond,Elite,Site,Water
Sold-out Cemetery,Elite,Site,Air
Sphinx Sarcophagus,Elite,Site,DB
Trade Encampment,Elite,Site,DB
Vindictive Nation,Elite,Site,Fire
